Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Banda ancha fija (M),Dial up (M),Total (M)
2022,3,Buenos Aires,4715469,6199,4721668,4.715469,0.006199,4.721668
2022,3,Capital Federal,1545534,2145,1547679,1.545534,0.002145,1.547679
2022,3,Catamarca,70292,1,70293,0.070292,1e-06,0.070293
2022,3,Chaco,144141,5,144146,0.144141,5e-06,0.144146
2022,3,Chubut,164874,904,165778,0.164874,0.000904,0.165778
2022,3,Córdoba,1038600,68,1038668,1.0386,6.8e-05,1.038668
2022,3,Corrientes,144842,4,144846,0.144842,4e-06,0.144846
2022,3,Entre Ríos,268937,22,268959,0.268937,2.2e-05,0.268959
2022,3,Formosa,68537,1,68538,0.068537,1e-06,0.068538
2022,3,Jujuy,118823,0,118823,0.118823,0.0,0.118823
2022,3,La Pampa,115921,171,116092,0.115921,0.000171,0.116092
2022,3,La Rioja,86860,4,86864,0.08686,4e-06,0.086864
2022,3,Mendoza,288746,777,289523,0.288746,0.000777,0.289523
2022,3,Misiones,182157,0,182157,0.182157,0.0,0.182157
2022,3,Neuquén,162693,468,163161,0.162693,0.000468,0.163161
2022,3,Río Negro,160010,548,160558,0.16001,0.000548,0.160558
2022,3,Salta,204536,5,204541,0.204536,5e-06,0.204541
2022,3,San Juan,103118,281,103399,0.103118,0.000281,0.103399
2022,3,San Luis,121888,182,122070,0.121888,0.000182,0.12207
2022,3,Santa Cruz,49312,198,49510,0.049312,0.000198,0.04951
2022,3,Santa Fe,887700,110,887810,0.8877,0.00011,0.88781
2022,3,Santiago Del Estero,119030,2,119032,0.11903,2e-06,0.119032
2022,3,Tierra Del Fuego,53584,312,53896,0.053584,0.000312,0.053896
2022,3,Tucumán,263087,30,263117,0.263087,3e-05,0.263117
2022,2,Buenos Aires,4660984,6199,4667183,4.660984,0.006199,4.667183
2022,2,Capital Federal,1534626,2145,1536771,1.534626,0.002145,1.536771
2022,2,Catamarca,67007,1,67008,0.067007,1e-06,0.067008
2022,2,Chaco,143559,5,143564,0.143559,5e-06,0.143564
2022,2,Chubut,161901,904,162805,0.161901,0.000904,0.162805
2022,2,Córdoba,1026367,68,1026435,1.026367,6.8e-05,1.026435
2022,2,Corrientes,144993,4,144997,0.144993,4e-06,0.144997
2022,2,Entre Ríos,269330,22,269352,0.26933,2.2e-05,0.269352
2022,2,Formosa,67881,0,67881,0.067881,0.0,0.067881
2022,2,Jujuy,115314,0,115314,0.115314,0.0,0.115314
2022,2,La Pampa,111356,171,111527,0.111356,0.000171,0.111527
2022,2,La Rioja,86026,4,86030,0.086026,4e-06,0.08603
2022,2,Mendoza,278785,777,279562,0.278785,0.000777,0.279562
2022,2,Misiones,178813,0,178813,0.178813,0.0,0.178813
2022,2,Neuquén,161500,468,161968,0.1615,0.000468,0.161968
2022,2,Río Negro,159216,548,159764,0.159216,0.000548,0.159764
2022,2,Salta,203172,5,203177,0.203172,5e-06,0.203177
2022,2,San Juan,100126,281,100407,0.100126,0.000281,0.100407
2022,2,San Luis,121559,182,121741,0.121559,0.000182,0.121741
2022,2,Santa Cruz,48987,198,49185,0.048987,0.000198,0.049185
2022,2,Santa Fe,878749,110,878859,0.878749,0.00011,0.878859
2022,2,Santiago Del Estero,118042,2,118044,0.118042,2e-06,0.118044
2022,2,Tierra Del Fuego,53458,312,53770,0.053458,0.000312,0.05377
2022,2,Tucumán,254497,30,254527,0.254497,3e-05,0.254527
2022,1,Buenos Aires,4549131,6293,4555424,4.549131,0.006293,4.555424
2022,1,Capital Federal,1415378,2163,1417541,1.415378,0.002163,1.417541
2022,1,Catamarca,62377,1,62378,0.062377,1e-06,0.062378
2022,1,Chaco,144114,5,144119,0.144114,5e-06,0.144119
2022,1,Chubut,170701,927,171628,0.170701,0.000927,0.171628
2022,1,Córdoba,1003729,74,1003803,1.003729,7.4e-05,1.003803
2022,1,Corrientes,142574,4,142578,0.142574,4e-06,0.142578
2022,1,Entre Ríos,267904,22,267926,0.267904,2.2e-05,0.267926
2022,1,Formosa,54548,0,54548,0.054548,0.0,0.054548
2022,1,Jujuy,116509,0,116509,0.116509,0.0,0.116509
2022,1,La Pampa,109560,172,109732,0.10956,0.000172,0.109732
2022,1,La Rioja,84299,4,84303,0.084299,4e-06,0.084303
2022,1,Mendoza,274399,786,275185,0.274399,0.000786,0.275185
2022,1,Misiones,171508,0,171508,0.171508,0.0,0.171508
2022,1,Neuquén,149208,471,149679,0.149208,0.000471,0.149679
2022,1,Río Negro,156821,553,157374,0.156821,0.000553,0.157374
2022,1,Salta,197510,5,197515,0.19751,5e-06,0.197515
2022,1,San Juan,87888,290,88178,0.087888,0.00029,0.088178
2022,1,San Luis,119659,185,119844,0.119659,0.000185,0.119844
2022,1,Santa Cruz,48898,204,49102,0.048898,0.000204,0.049102
2022,1,Santa Fe,870364,115,870479,0.870364,0.000115,0.870479
2022,1,Santiago Del Estero,116459,2,116461,0.116459,2e-06,0.116461
2022,1,Tierra Del Fuego,52298,313,52611,0.052298,0.000313,0.052611
2022,1,Tucumán,245554,30,245584,0.245554,3e-05,0.245584
2021,4,Buenos Aires,4502772,6385,4509157,4.502772,0.006385,4.509157
2021,4,Capital Federal,1409935,2184,1412119,1.409935,0.002184,1.412119
2021,4,Catamarca,59089,1,59090,0.059089,1e-06,0.05909
2021,4,Chaco,143740,5,143745,0.14374,5e-06,0.143745
2021,4,Chubut,159364,944,160308,0.159364,0.000944,0.160308
2021,4,Córdoba,986693,77,986770,0.986693,7.7e-05,0.98677
2021,4,Corrientes,135908,4,135912,0.135908,4e-06,0.135912
2021,4,Entre Ríos,265024,22,265046,0.265024,2.2e-05,0.265046
2021,4,Formosa,53663,0,53663,0.053663,0.0,0.053663
2021,4,Jujuy,113915,0,113915,0.113915,0.0,0.113915
2021,4,La Pampa,106834,173,107007,0.106834,0.000173,0.107007
2021,4,La Rioja,83124,4,83128,0.083124,4e-06,0.083128
2021,4,Mendoza,266783,804,267587,0.266783,0.000804,0.267587
2021,4,Misiones,171132,0,171132,0.171132,0.0,0.171132
2021,4,Neuquén,146989,477,147466,0.146989,0.000477,0.147466
2021,4,Río Negro,153189,564,153753,0.153189,0.000564,0.153753
2021,4,Salta,199399,6,199405,0.199399,6e-06,0.199405
2021,4,San Juan,79667,291,79958,0.079667,0.000291,0.079958
2021,4,San Luis,118662,187,118849,0.118662,0.000187,0.118849
2021,4,Santa Cruz,48276,210,48486,0.048276,0.00021,0.048486
2021,4,Santa Fe,866265,176,866441,0.866265,0.000176,0.866441
2021,4,Santiago Del Estero,115859,2,115861,0.115859,2e-06,0.115861
2021,4,Tierra Del Fuego,52042,315,52357,0.052042,0.000315,0.052357
2021,4,Tucumán,238609,30,238639,0.238609,3e-05,0.238639
2021,3,Buenos Aires,4246425,5184,4251609,4.246425,0.005184,4.251609
