Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos_total
2022,3,Buenos Aires,78.11,231.76999999999998
2022,3,Capital Federal,122.28,355.39
2022,3,Catamarca,65.33,185.94
2022,3,Chaco,43.86,131.71
2022,3,Chubut,84.38,255.62
2022,3,Córdoba,88.31,261.55
2022,3,Corrientes,48.21,144.2
2022,3,Entre Ríos,63.67,191.27
2022,3,Formosa,43.76,122.14
2022,3,Jujuy,58.91,174.29
2022,3,La Pampa,96.59,281.23
2022,3,La Rioja,80.66,239.57
2022,3,Mendoza,51.03,149.16
2022,3,Misiones,51.82,151.86
2022,3,Neuquén,80.37,234.56
2022,3,Río Negro,67.98,202.87
2022,3,Salta,57.76,171.41
2022,3,San Juan,50.8,143.81
2022,3,San Luis,81.74,244.22
2022,3,Santa Cruz,43.19,129.68
2022,3,Santa Fe,78.55,233.75
2022,3,Santiago Del Estero,47.98,142.85
2022,3,Tierra Del Fuego,99.51,297.66
2022,3,Tucumán,61.14,177.84
2022,2,Buenos Aires,77.58,231.76999999999998
2022,2,Capital Federal,121.31,355.39
2022,2,Catamarca,62.4,185.94
2022,2,Chaco,43.79,131.71
2022,2,Chubut,83.19,255.62
2022,2,Córdoba,87.48,261.55
2022,2,Corrientes,48.35,144.2
2022,2,Entre Ríos,63.9,191.27
2022,2,Formosa,43.42,122.14
2022,2,Jujuy,57.32,174.29
2022,2,La Pampa,92.98,281.23
2022,2,La Rioja,80.14,239.57
2022,2,Mendoza,49.39,149.16
2022,2,Misiones,51.0,151.86
2022,2,Neuquén,80.02,234.56
2022,2,Río Negro,67.85,202.87
2022,2,Salta,57.54,171.41
2022,2,San Juan,49.46,143.81
2022,2,San Luis,81.76,244.22
2022,2,Santa Cruz,43.15,129.68
2022,2,Santa Fe,77.9,233.75
2022,2,Santiago Del Estero,47.7,142.85
2022,2,Tierra Del Fuego,99.86,297.66
2022,2,Tucumán,59.31,177.84
2022,1,Buenos Aires,76.08,231.76999999999998
2022,1,Capital Federal,111.8,355.39
2022,1,Catamarca,58.21,185.94
2022,1,Chaco,44.06,131.71
2022,1,Chubut,88.05,255.62
2022,1,Córdoba,85.76,261.55
2022,1,Corrientes,47.64,144.2
2022,1,Entre Ríos,63.7,191.27
2022,1,Formosa,34.96,122.14
2022,1,Jujuy,58.06,174.29
2022,1,La Pampa,91.66,281.23
2022,1,La Rioja,78.77,239.57
2022,1,Mendoza,48.74,149.16
2022,1,Misiones,49.04,151.86
2022,1,Neuquén,74.17,234.56
2022,1,Río Negro,67.04,202.87
2022,1,Salta,56.11,171.41
2022,1,San Juan,43.55,143.81
2022,1,San Luis,80.72,244.22
2022,1,Santa Cruz,43.34,129.68
2022,1,Santa Fe,77.3,233.75
2022,1,Santiago Del Estero,47.17,142.85
2022,1,Tierra Del Fuego,98.29,297.66
2022,1,Tucumán,57.39,177.84
2021,4,Buenos Aires,75.66,286.45
2021,4,Capital Federal,111.27,441.1
2021,4,Catamarca,55.25,209.2
2021,4,Chaco,44.05,173.48
2021,4,Chubut,82.57,304.56
2021,4,Córdoba,84.51,324.5
2021,4,Corrientes,45.51,176.60999999999999
2021,4,Entre Ríos,63.16,247.44
2021,4,Formosa,34.45,134.37
2021,4,Jujuy,56.92,224.42000000000002
2021,4,La Pampa,89.57,337.71
2021,4,La Rioja,77.92,281.97
2021,4,Mendoza,47.51,173.18
2021,4,Misiones,49.06,182.81
2021,4,Neuquén,73.3,278.99
2021,4,Río Negro,65.69,250.48
2021,4,Salta,56.81,221.63
2021,4,San Juan,39.59,157.39000000000001
2021,4,San Luis,80.3,324.89
2021,4,Santa Cruz,43.05,172.45999999999998
2021,4,Santa Fe,77.09,301.1
2021,4,Santiago Del Estero,47.05,186.28
2021,4,Tierra Del Fuego,98.4,338.59000000000003
2021,4,Tucumán,55.93,220.32
2021,3,Buenos Aires,71.68,286.45
2021,3,Capital Federal,111.27,441.1
2021,3,Catamarca,52.71,209.2
2021,3,Chaco,42.96,173.48
2021,3,Chubut,80.71,304.56
2021,3,Córdoba,81.28,324.5
2021,3,Corrientes,44.9,176.60999999999999
2021,3,Entre Ríos,62.18,247.44
2021,3,Formosa,33.96,134.37
2021,3,Jujuy,55.69,224.42000000000002
2021,3,La Pampa,84.28,337.71
2021,3,La Rioja,77.26,281.97
2021,3,Mendoza,45.55,173.18
2021,3,Misiones,45.57,182.81
2021,3,Neuquén,69.71,278.99
2021,3,Río Negro,61.97,250.48
2021,3,Salta,55.96,221.63
2021,3,San Juan,39.46,157.39000000000001
2021,3,San Luis,79.87,324.89
2021,3,Santa Cruz,43.75,172.45999999999998
2021,3,Santa Fe,75.02,301.1
2021,3,Santiago Del Estero,47.0,186.28
2021,3,Tierra Del Fuego,94.95,338.59000000000003
2021,3,Tucumán,54.64,220.32
2021,2,Buenos Aires,70.0,286.45
2021,2,Capital Federal,110.14,441.1
2021,2,Catamarca,52.34,209.2
2021,2,Chaco,43.33,173.48
2021,2,Chubut,72.29,304.56
2021,2,Córdoba,80.12,324.5
2021,2,Corrientes,43.54,176.60999999999999
2021,2,Entre Ríos,61.66,247.44
2021,2,Formosa,33.23,134.37
2021,2,Jujuy,56.18,224.42000000000002
2021,2,La Pampa,82.08,337.71
2021,2,La Rioja,76.98,281.97
2021,2,Mendoza,40.97,173.18
2021,2,Misiones,45.01,182.81
2021,2,Neuquén,69.14,278.99
2021,2,Río Negro,61.94,250.48
2021,2,Salta,54.93,221.63
2021,2,San Juan,39.28,157.39000000000001
2021,2,San Luis,83.48,324.89
2021,2,Santa Cruz,44.01,172.45999999999998
2021,2,Santa Fe,75.07,301.1
2021,2,Santiago Del Estero,46.56,186.28
2021,2,Tierra Del Fuego,67.89,338.59000000000003
2021,2,Tucumán,54.93,220.32
2021,1,Buenos Aires,69.11,286.45
2021,1,Capital Federal,108.42,441.1
2021,1,Catamarca,48.9,209.2
2021,1,Chaco,43.14,173.48
2021,1,Chubut,68.99,304.56
2021,1,Córdoba,78.59,324.5
2021,1,Corrientes,42.66,176.60999999999999
2021,1,Entre Ríos,60.44,247.44
2021,1,Formosa,32.73,134.37
2021,1,Jujuy,55.63,224.42000000000002
2021,1,La Pampa,81.78,337.71
2021,1,La Rioja,49.81,281.97
2021,1,Mendoza,39.15,173.18
2021,1,Misiones,43.17,182.81
2021,1,Neuquén,66.84,278.99
2021,1,Río Negro,60.88,250.48
2021,1,Salta,53.93,221.63
2021,1,San Juan,39.06,157.39000000000001
