Año,Trimestre,Provincia,Accesos por cada 100 hogares,Latitud,Longitud
2022,3,Buenos Aires,78.11,-34.61315, -58.37723
2022,3,Capital Federal,122.28,-34.61315, -58.37723
2022,3,Catamarca,65.33,-28.46957,-65.78524
2022,3,Chaco,43.86,-27.46056, -58.98389
2022,3,Chubut,84.38,-43.30016, -65.10228
2022,3,Cordoba,88.31,-31.4135, -64.18105
2022,3,Corrientes,48.21,-27.46784,-58.8344
2022,3,Entre Rios,63.67,-31.73271, -60.52897
2022,3,Formosa,43.76,-26.184722222222, -58.175833333333
2022,3,Jujuy,58.91,-24.19457, -65.29712
2022,3,La Pampa,96.59,-36.61667,-64.28333
2022,3,La Rioja,80.66,-29.41105,-66.85067
2022,3,Mendoza,51.03,-32.89084, -68.82717
2022,3,Misiones,51.82,-27.36708, -55.89608
2022,3,Neuquen,80.37,-38.951833333333, -68.059194444444
2022,3,Rio Negro,67.98,-40.81345,-62.99668
2022,3,Salta,57.76,-24.7859, -65.41166
2022,3,San Juan,50.8,-31.5375, -68.53639
2022,3,San Luis,81.74,-33.29501,-66.33563
2022,3,Santa Cruz,43.19,-51.6169,-69.2139
2022,3,Santa Fe,78.55,-31.64881, -60.70868
2022,3,Santiago Del Estero,47.98,-27.79511, -64.26149
2022,3,Tierra Del Fuego,99.51,-54.8064, -68.305
2022,3,Tucuman,61.14,-26.82414, -65.2226
